文物采样点,二氧化硅(SiO2)_norm,氧化钾(K2O)_norm,氧化钙(CaO)_norm,氧化镁(MgO)_norm,氧化铝(Al2O3)_norm,氧化铁(Fe2O3)_norm,氧化铜(CuO)_norm,氧化铅(PbO)_norm,氧化钡(BaO)_norm,五氧化二磷(P2O5)_norm,氧化锶(SrO)_norm,_valid,文物编号_clean,文物编号,纹饰,类型,颜色,表面风化
01,71.31248714256326,10.275663443735857,6.500720016457519,0.8948775972022217,4.0423781114996915,1.7897551944044434,3.980662415140918,0.0,0.0,1.2034560789960913,0.0,True,01,01,C,高钾,蓝绿,无风化
02,36.31995194714186,1.0511562718990892,2.34257683451797,1.1812994293723096,5.73630994093503,1.8620482530783866,0.2602863149464411,47.48223045349885,0.0,3.5739313244569026,0.1902092301531685,True,02,02,A,铅钡,浅蓝,风化
03部位1,87.05,5.19,2.01,0.0,4.06,0.0,0.78,0.25,0.0,0.66,0.0,True,03,03,A,高钾,蓝绿,无风化
03部位2,62.40898058252428,12.510113268608414,5.936488673139159,1.1225728155339807,5.562297734627832,2.1844660194174756,5.147653721682848,1.4259708737864079,2.8923948220064726,0.7079288025889968,0.10113268608414241,True,03,03,A,高钾,蓝绿,无风化
04,68.84012539184951,10.104493207941482,7.439916405433646,1.630094043887147,6.729362591431556,2.1525600835945657,2.277951933124347,0.0,0.0,0.8254963427377219,0.0,True,04,04,A,高钾,蓝绿,无风化
05,64.11911703456893,11.40149937526031,7.653061224489796,1.842982090795502,7.809246147438569,2.7280299875052068,3.4048313202832157,0.0,0.0,0.9787588504789672,0.062473969179508544,True,05,05,A,高钾,蓝绿,无风化
06部位1,68.3885968459361,7.450465022240192,0.0,2.0016174686615438,11.271734735139503,2.416093813182369,2.5374039627982197,0.20218358269308528,1.3950667205822882,4.225636878285481,0.1112009704811969,True,06,06,A,高钾,蓝绿,无风化
06部位2,60.51193848644273,7.7701335491703745,5.473492513152569,1.750303520841764,10.16794819910967,6.110886280857951,2.205584783488466,0.3541076487252124,0.9813840550384457,4.552812626467016,0.1214083367057871,True,06,06,A,高钾,蓝绿,无风化
07,92.90872617853562,0.0,1.073219658976931,0.0,1.9859578736208627,0.17051153460381147,3.2497492477432304,0.0,0.0,0.6118355065195588,0.0,True,07,07,B,高钾,蓝绿,风化
08,20.711641299876593,0.0,1.5220074043603455,0.0,1.3780337309749073,0.0,10.705470999588645,29.494035376388318,32.11641299876594,3.691896338955162,0.3805018510900864,True,08,08,C,铅钡,紫,风化
08严重风化点,5.540199495252975,0.0,3.833673837279173,0.0,1.3339742819372673,0.0,3.7735849056603774,38.99771662059849,36.798461723350556,9.085446460761926,0.6369426751592356,True,08,08,C,铅钡,紫,风化
09,95.23904981457353,0.5913601282950788,0.6214292873609303,0.0,1.3230429988974646,0.3207376967024156,1.5535732184023257,0.0,0.0,0.35080685576826703,0.0,True,09,09,B,高钾,蓝绿,风化
10,96.95421300470895,0.9217513275222924,0.21039975954313195,0.0,0.8115419296663661,0.2604949403867348,0.8415990381725278,0.0,0.0,0.0,0.0,True,10,10,B,高钾,蓝绿,风化
11,35.21333473110389,0.22014886256421007,3.679630988573226,0.7443128210504245,2.820002096655834,0.0,5.168256630674074,26.617045811929973,15.316070866967188,9.833315861201385,0.38788132927979874,True,11,11,C,铅钡,浅蓝,风化
12,94.6971979511901,1.0143617555488598,0.7231093702922565,0.0,1.46630511198152,0.2912523852566033,1.657125640253088,0.0,0.0,0.15064778547755345,0.0,True,12,12,B,高钾,蓝绿,风化
13,61.93324937027709,13.150713685978172,9.130982367758186,0.0,6.465155331654074,3.0226700251889174,4.964315701091521,0.0,0.0,1.3329135180520573,0.0,True,13,13,C,高钾,浅蓝,无风化
14,65.33152060238443,12.842501568709475,8.606985986195356,0.6902321690023008,9.65279230286551,0.5229031583350763,0.4915289688349717,1.6942062330056473,0.0,0.16732901066722441,0.0,True,14,14,C,高钾,深绿,无风化
15,81.13034356150011,9.756097560975608,0.0,1.337529504327301,4.130605822187253,1.363755573039601,1.6915814319433513,0.2491476527668502,0.0,0.34093889325990023,0.0,False,15,15,C,高钾,浅蓝,无风化
16,67.67729207766588,15.076316062714154,8.586854947565154,0.5399231647803968,6.4167791506593295,0.43609178693801265,1.1109957429135087,0.11421451562662237,0.0,0.0,0.041532551136953595,True,16,16,C,高钾,浅蓝,无风化
17,87.01447613587501,8.184033252114089,0.0,1.2182886627490324,0.0,1.4906120108929337,1.562276049878171,0.27232334814390136,0.0,0.25799054034685387,0.0,False,17,17,C,高钾,浅蓝,无风化
18,83.73906628728001,9.92728422383813,0.0,1.6123932975023716,3.2142480767204136,0.0,0.0,0.0,0.0,1.4332384866687746,0.07376962799030458,True,18,18,A,高钾,深蓝,无风化
19,30.012150668286758,0.0,2.966788173349535,0.5974078574321587,3.614823815309842,1.346699068448765,3.5540704738760636,43.357634669906844,5.4171729445119485,8.940866747671123,0.19238558120696642,True,19,19,A,铅钡,,风化
20,42.25766316027599,0.8030765750480715,0.0,0.0,6.164461033819705,1.7079515891867438,5.4066282094785665,10.519172039362063,26.63725822870716,6.503789164121707,0.0,True,20,20,A,铅钡,浅蓝,无风化
21,77.83191230207066,0.0,4.780755176613885,1.2383272431993504,6.282988225740967,2.405602923264312,3.329273244011368,1.0150223304912709,1.9995939910678033,1.116524563540398,0.0,True,21,21,A,高钾,蓝绿,无风化
